40 37 33 26 24 21 15 19 12 3 7 1 2 0 0 0 0 0 0 0 2 6 10 18 14 19 33 36 41 40 34 36
67 71 65 50 46 23 28 12 15 11 7 8 5 2 0 0 0 0 0 2 3 7 17 31 31 36 56 69 66 55 65 67
111 115 93 77 69 71 53 43 34 23 22 9 8 2 1 0 0 0 0 0 2 17 22 32 57 80 91 88 103 105 119 107
137 143 141 132 121 100 79 67 39 42 24 20 7 1 2 0 0 0 0 5 10 23 36 60 79 101 126 139 136 169 166 170
194 226 177 172 170 140 108 86 63 47 38 24 10 3 1 0 0 0 0 3 8 37 51 79 125 142 167 177 210 227 213 225
270 266 246 212 200 186 148 123 109 70 46 34 14 5 0 0 0 0 0 5 17 47 83 109 139 201 245 247 279 316 302 288
357 324 320 269 256 238 198 132 118 102 58 41 12 7 2 0 0 0 0 6 27 41 82 152 170 230 305 322 347 401 379 372
418 430 395 344 283 279 221 183 146 99 72 53 16 6 2 0 0 0 0 8 33 64 99 168 246 317 353 343 433 471 497 493
509 512 455 425 393 314 269 198 161 105 89 51 33 11 0 0 0 0 0 4 28 65 106 213 280 337 452 434 520 566 595 547
618 576 548 516 421 351 323 253 213 155 96 65 31 16 1 0 0 0 0 8 40 103 159 235 308 399 506 591 616 619 659 619
733 665 576 537 463 457 365 268 211 165 106 83 42 9 2 0 0 0 1 4 34 96 177 245 348 469 533 625 699 793 734 686
759 710 734 585 517 432 366 341 264 183 126 87 50 9 1 0 0 0 0 7 48 96 212 304 396 552 673 705 770 849 827 803
873 867 804 681 605 503 440 329 309 199 153 84 40 13 2 0 0 0 1 11 50 128 205 321 435 585 704 760 852 946 943 945
949 911 840 762 668 582 482 397 286 216 156 100 45 33 0 0 0 0 0 13 52 143 208 366 504 653 757 909 935 956 1021 1034
1020 1033 933 840 773 603 518 418 321 262 169 118 51 22 4 0 0 0 1 16 53 140 233 366 538 663 823 911 1046 1135 1084 1096
1070 1077 1005 908 741 656 536 404 341 249 194 94 53 17 2 0 0 0 1 23 52 135 249 396 574 734 902 1030 1124 1152 1188 1205
1233 1206 1129 989 824 680 604 502 351 271 197 110 68 26 4 0 0 0 0 24 58 172 270 432 598 781 963 1113 1107 1300 1263 1188
1285 1151 1158 1008 805 739 623 502 365 278 197 140 68 25 3 0 0 0 1 14 78 194 304 460 637 782 965 1076 1265 1314 1400 1307
1309 1218 1145 1018 849 722 591 485 368 274 189 135 70 35 7 0 0 0 2 15 70 173 300 497 683 816 1031 1115 1191 1367 1433 1427
