78 69 64 47 52 45 39 29 22 14 11 12 3 3 0 0 0 0 0 0 4 5 17 31 42 50 55 75 97 83 80 86
117 120 110 85 92 83 74 47 42 25 20 15 9 2 1 0 0 0 0 4 7 5 29 39 69 86 105 101 147 130 140 138
221 192 198 176 143 126 97 82 62 48 35 19 7 3 0 0 0 0 0 1 9 27 48 64 91 133 173 193 226 235 218 212
317 320 273 259 210 195 126 120 112 68 51 27 13 8 2 0 0 0 1 3 10 30 58 108 151 194 248 303 291 328 356 332
462 400 332 329 304 249 218 174 134 108 70 35 16 8 3 0 0 0 1 6 15 52 89 138 210 267 367 398 419 469 468 429
597 533 502 495 421 356 260 227 163 135 93 52 25 9 2 0 0 0 0 11 22 67 108 204 282 378 466 527 543 655 623 628
762 654 667 580 481 417 355 261 239 143 115 47 37 8 4 1 0 0 0 17 31 76 161 273 402 479 514 671 676 749 788 749
865 884 735 648 588 535 486 326 273 176 136 82 35 16 4 0 0 0 5 8 43 82 197 338 462 587 758 843 859 875 918 928
1077 991 896 840 744 641 551 389 291 245 165 93 50 13 4 0 0 0 0 9 41 118 215 375 523 651 800 930 1014 1135 1133 1132
1168 1182 1024 963 803 720 567 491 361 276 149 112 52 18 4 0 0 0 0 12 60 135 278 431 591 793 992 1108 1250 1216 1249 1270
1365 1286 1209 1154 911 786 636 501 396 328 166 106 63 21 3 0 0 0 1 21 63 161 297 483 711 871 1103 1169 1382 1402 1444 1398
1651 1475 1326 1175 1067 955 768 624 443 345 220 127 80 30 3 0 0 0 3 16 69 178 330 570 814 1012 1247 1388 1500 1637 1667 1556
1766 1638 1454 1356 1099 1014 859 718 500 402 239 138 76 34 4 0 0 0 1 19 81 209 374 589 865 1125 1422 1619 1741 1745 1830 1745
1795 1816 1684 1393 1310 1077 916 754 550 427 269 173 75 34 2 0 0 0 2 13 87 203 384 634 934 1225 1455 1710 1822 1945 1998 1990
2071 1891 1739 1600 1376 1164 974 777 599 435 275 156 92 35 7 0 0 0 0 11 105 214 429 684 1040 1322 1606 1844 1907 2084 2123 2138
2131 2072 1874 1755 1513 1329 1069 844 612 479 290 163 83 48 7 0 0 0 1 26 114 229 482 773 1073 1351 1660 1957 2165 2147 2292 2171
